
  ROL::Problem::finalize
    Problem Summary:
      Has Bound Constraint? .............. yes
      Has Equality Constraint? ........... no
      Has Inequality Constraint? ......... no
      Has Linear Equality Constraint? .... yes
        Names: ........................... Equality Linear Constraint 0
        Total: ........................... 1
      Has Linear Inequality Constraint? .. no


Lin-More Trust-Region Method (Type B, Bound Constraints)
  iter  value          gnorm          snorm          delta          #fval     #grad     #hess     #proj     tr_flag   
  19    5.383581e+00   8.265257e-03   7.373876e+00   8.138199e+00   20        19        24        79        0         
  20    5.351981e+00   5.812635e-03   5.465256e+00   8.138199e+00   21        20        25        83        0         
  21    5.329409e+00   4.948473e-03   4.725571e+00   9.765838e+00   22        21        26        87        0         
  22    5.296692e+00   2.878318e-03   8.836967e+00   1.171901e+01   23        22        28        92        0         
  23    5.278123e+00   5.041481e-03   1.170539e+01   1.406281e+01   24        23        32        99        0         
  24    5.268387e+00   1.154037e-02   1.405977e+01   1.406281e+01   25        24        33        104       0         
  25    5.268387e+00   1.154037e-02   1.294522e+01   9.708918e+00   26        24        34        111       2         
  26    5.268387e+00   1.154037e-02   7.864160e+00   5.898120e+00   27        24        35        113       2         
  27    5.243387e+00   7.590243e-03   4.118088e+00   5.898120e+00   28        25        36        116       0         
  28    5.229502e+00   4.033726e-03   4.650571e+00   5.898120e+00   29        26        38        121       0         
  29    5.229502e+00   4.033726e-03   5.550267e+00   4.162700e+00   30        26        39        124       2         
  30    5.228159e+00   7.905857e-03   3.185673e+00   4.162700e+00   31        27        40        127       0         
  31    5.223851e+00   2.981579e-03   2.629114e+00   4.162700e+00   32        28        41        131       0         
  32    5.222079e+00   3.694506e-03   2.181783e+00   4.162700e+00   33        29        42        135       0         
  33    5.220737e+00   2.117574e-03   3.116165e+00   4.162700e+00   34        30        44        140       0         
  34    5.220737e+00   2.117574e-03   4.066751e+00   3.050063e+00   35        30        45        142       2         
  35    5.220235e+00   3.066942e-03   2.096016e+00   3.050063e+00   36        31        46        145       0         
  36    5.219840e+00   1.877468e-03   2.599154e+00   3.050063e+00   37        32        48        150       0         
  37    5.219840e+00   1.877468e-03   2.509264e+00   1.881948e+00   38        32        49        153       2         
  38    5.218742e+00   1.232906e-03   1.263904e+00   1.881948e+00   39        33        50        156       0         
  39    5.217665e+00   4.735091e-04   1.555183e+00   2.258338e+00   40        34        52        161       0         
  40    5.217466e+00   3.810534e-04   1.229667e+00   2.258338e+00   41        35        53        165       0         
  41    5.217332e+00   2.308312e-04   9.532952e-01   2.258338e+00   42        36        54        169       0         
  42    5.217235e+00   1.745439e-04   7.298561e-01   2.258338e+00   43        37        55        173       0         
  43    5.217208e+00   2.645931e-04   1.555977e+00   2.258338e+00   44        38        57        178       0         
  44    5.217208e+00   2.645931e-04   2.080762e+00   1.560572e+00   45        38        58        180       2         
  45    5.217131e+00   2.126005e-04   1.117677e+00   1.560572e+00   46        39        59        183       0         
  46    5.217079e+00   1.161479e-04   6.971732e-01   1.560572e+00   47        40        60        187       0         
  47    5.217057e+00   7.433665e-05   4.606111e-01   1.560572e+00   48        41        61        191       0         
  48    5.217057e+00   7.433665e-05   1.062568e+00   7.969260e-01   49        41        63        195       2         
  49    5.217042e+00   1.154124e-04   6.945027e-01   7.969260e-01   50        42        64        198       0         
  50    5.217031e+00   9.945877e-05   5.789805e-01   7.969260e-01   51        43        65        201       0         
  51    5.217021e+00   7.121072e-05   4.621692e-01   7.969260e-01   52        44        66        205       0         
  52    5.217014e+00   6.079574e-05   3.885946e-01   7.969260e-01   53        45        67        209       0         
  53    5.217006e+00   5.398520e-05   3.247143e-01   7.969260e-01   54        46        68        213       0         
  54    5.216997e+00   5.184536e-05   2.945955e-01   7.969260e-01   55        47        69        217       0         
  55    5.216987e+00   4.066342e-05   2.730285e-01   7.969260e-01   56        48        70        221       0         
  56    5.216987e+00   4.066342e-05   7.495579e-01   5.621684e-01   57        48        72        225       2         
  57    5.216987e+00   4.066342e-05   4.510594e-01   3.382945e-01   58        48        73        227       2         
  58    5.216981e+00   4.053412e-05   2.766587e-01   3.382945e-01   59        49        74        230       0         
  59    5.216979e+00   3.794486e-05   2.351521e-01   3.382945e-01   60        50        75        234       0         
  60    5.216979e+00   3.794486e-05   2.588299e-01   1.941224e-01   61        50        76        237       2         
  61    5.216977e+00   1.003581e-05   1.294149e-01   1.941224e-01   62        51        77        240       0         
  62    5.216977e+00   1.949375e-05   1.627978e-01   1.941224e-01   63        52        79        245       0         
  63    5.216977e+00   1.949375e-05   1.662137e-01   1.246603e-01   64        52        80        247       2         
  64    5.216976e+00   9.693235e-06   8.310684e-02   1.246603e-01   65        53        81        250       0         
  65    5.216976e+00   6.485498e-06   4.037312e-02   1.246603e-01   66        54        82        254       0         
  66    5.216976e+00   5.628999e-06   2.764934e-02   1.246603e-01   67        55        83        258       0         
  67    5.216975e+00   7.970218e-06   1.199893e-01   1.246603e-01   68        56        85        263       0         
  68    5.216975e+00   7.970218e-06   8.494771e-02   6.371078e-02   69        56        86        265       2         
  69    5.216975e+00   6.502857e-06   4.247386e-02   6.371078e-02   70        57        87        268       0         
  70    5.216975e+00   5.415205e-06   3.455965e-02   6.371078e-02   71        58        88        272       0         
  71    5.216975e+00   4.647556e-06   2.885801e-02   6.371078e-02   72        59        89        276       0         
  72    5.216975e+00   4.088643e-06   2.476715e-02   6.371078e-02   73        60        90        280       0         
  73    5.216975e+00   3.674104e-06   2.178867e-02   6.371078e-02   74        61        91        284       0         
  74    5.216975e+00   3.360164e-06   1.957956e-02   6.371078e-02   75        62        92        288       0         
  75    5.216975e+00   3.114157e-06   1.790655e-02   6.371078e-02   76        63        93        292       0         
  76    5.216974e+00   2.914449e-06   1.659556e-02   6.371078e-02   77        64        94        296       0         
  77    5.216974e+00   2.746247e-06   1.553130e-02   7.645294e-02   78        65        95        300       0         
  78    5.216974e+00   4.947523e-06   7.317473e-02   7.645294e-02   79        66        97        305       0         
  79    5.216974e+00   4.947523e-06   6.591424e-02   4.943568e-02   80        66        98        307       2         
  80    5.216974e+00   5.743512e-06   3.295712e-02   4.943568e-02   81        67        99        310       0         
  81    5.216974e+00   6.743274e-06   3.825948e-02   4.943568e-02   82        68        100       314       0         
  82    5.216974e+00   6.743274e-06   4.491923e-02   3.368942e-02   83        68        101       317       2         
  83    5.216974e+00   1.923746e-06   2.245961e-02   3.368942e-02   84        69        102       320       0         
  84    5.216974e+00   3.298204e-06   3.203681e-02   3.368942e-02   85        70        104       325       0         
  85    5.216974e+00   3.298204e-06   2.746307e-02   2.059730e-02   86        70        105       327       2         
  86    5.216974e+00   1.869456e-06   1.373153e-02   2.059730e-02   87        71        106       330       0         
  87    5.216974e+00   1.526087e-06   7.783173e-03   2.059730e-02   88        72        107       334       0         
  88    5.216974e+00   1.430549e-06   6.353612e-03   2.471676e-02   89        73        108       338       0         
  89    5.216974e+00   1.377333e-06   5.955858e-03   2.966011e-02   90        74        109       342       0         
  90    5.216974e+00   1.204535e-06   2.867149e-02   3.559213e-02   91        75        111       347       0         
  91    5.216974e+00   2.223887e-06   2.507442e-02   3.559213e-02   92        76        112       351       0         
  92    5.216974e+00   2.223887e-06   2.314697e-02   1.736023e-02   93        76        113       353       2         
  93    5.216974e+00   1.716216e-06   1.157349e-02   1.736023e-02   94        77        114       356       0         
  94    5.216974e+00   1.371939e-06   8.931479e-03   1.736023e-02   95        78        115       360       0         
  95    5.216974e+00   1.142075e-06   7.139805e-03   1.736023e-02   96        79        116       364       0         
  96    5.216974e+00   9.903425e-07   5.943551e-03   1.736023e-02   97        80        117       368       0         
  97    5.216974e+00   8.891207e-07   5.153911e-03   1.736023e-02   98        81        118       372       0         
  98    5.216974e+00   8.192840e-07   4.627136e-03   1.736023e-02   99        82        119       376       0         
  99    5.216974e+00   7.682640e-07   4.263693e-03   1.736023e-02   100       83        120       380       0         
  100   5.216974e+00   7.284119e-07   3.998177e-03   2.083227e-02   101       84        121       384       0         
Optimization Terminated with Status: Iteration Limit Exceeded
